SMILES,hh_strange,qed,sa
O=c1c2cn[nH]c2c2cnc(-c3ccccc3CNC3CC3)cc2n1CC(F)(F)F,0.02,0.5225769,2.8840737
CCc1cc(-c2ccc(C)o2)n(-c2ccc3c(c2)nc(-c2cc(C(=O)N(C)C)ccc2O)n3Cc2ccc(OC)c(O)c2)n1,0.04,0.21666884,3.0143158
CC1(CSc2ccccc2)CC(=O)N1,0.0,0.6069157,2.9698534
CCOC(=O)c1c(N)nn(C(C)=O)c1-c1ccccc1,0.0,0.8637185,2.3383987
O=C(O)COc1ccc(NC(=O)C(=O)Nc2ccccc2Cl)cc1F,0.0,0.705155,1.9112887
COc1ccccc1NC(=O)Nc1ccc(-c2ccc(-c3nc4cccc(C)c4[nH]3)s2)cc1,0.01,0.2696447,2.3486772
CC(=O)c1ccc(S(=O)(=O)Nc2cccc(-c3ccc(N4CCOCC4)nn3)c2)cc1,0.0,0.59048927,2.214198
COc1cccc(CNC(=O)c2ccc(C3SCCS3)cc2)c1,0.0,0.88517475,2.0998154
Cc1ccc(OCC(C)NS(C)(=O)=O)cc1C,0.0,0.87177366,2.4866343
NC(S)=NN=Cc1ccccn1,0.0,0.30376497,3.0204668
Oc1cc(Nc2ccc3c(c2)CCC3)nc(O)n1,0.03,0.7526226,2.6341767
O=C1CC(c2ccccc2)Sc2nc(-c3ccccc3)c(-c3ccccc3)n21,0.0,0.42966908,2.746212
O=C(O)c1ccc2c(c1)C(=O)N(CCc1ccc(O)cc1)C2=O,0.0,0.84128964,1.921215
CCC1COc2c(-c3cc(C)nc(C)c3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.0,0.74386907,3.3467379
O=C(NCC(c1cccnc1)N1CCOCC1)c1cccc(Cl)c1,0.0,0.90444255,2.4943588
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)CSc1nc2ccccc2[nH]1,0.0,0.6161766,2.1350706
C=C(C)C1CCC2(C(=O)OC)CCC3(C)C(CCC4C5(C)CCC(OC(=O)NCC)C(C)(C)C5CCC43C)C12,0.0,0.28985345,4.832024
CC1CCC2C(CC(C(=O)O)C(=O)O)=C(C(F)(F)F)OC3OC4(C)CCC1C32OO4,0.0,0.510521,5.9203424
O=C(O)C1Cc2c(ncn2CCC23CC4CC(CC(C4)C2)C3)CN1C(=O)C(c1ccccc1)c1ccccc1,0.02,0.43368524,4.499031
C#CCOc1c(Cl)cc(NC=NOC)cc1Cl,0.03,0.38790306,3.0587194
Cc1nc(C)c(CN2CCN(S(C)(=O)=O)CC2)nc1C,0.0,0.8117935,2.3454773
CC(NC(=O)C(O)C(O)C(=O)N1CC(O)CC1c1cccc(Cl)c1)c1ccc(-n2cccn2)cc1,0.0,0.39281282,3.8344774
O=C(CSc1nnc(O)n1Cc1ccco1)c1ccc2c(c1)OCCO2,0.0,0.5192443,2.5919926
COc1ccc2c(CN3CCCN(Cc4ccncc4)CC3)n[nH]c2c1,0.05,0.7658367,2.342711
CN1C(=O)C(O)(CC(=O)c2cccc(-n3cccc3)c2)c2ccccc21,0.0,0.7390337,2.8098333
O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.0,0.6312422,2.39693
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.01,0.68412834,4.3810782
C1=NCC(C2CC23Cc2ccccc2C3)N1,0.03,0.753812,4.5767965
Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cnn(CC(F)F)c1N1CCC(N)CC(F)(F)C1,0.0,0.41371906,3.899835
Cc1noc(C)c1C(=O)OCC(=O)Nc1ccccc1C(=O)NC(C)c1ccccc1,0.0,0.5643889,2.5085335
O=C(O)C(=O)c1ccc(-c2ccccc2)s1,0.0,0.6534863,1.9796131
COc1ccc(S(=O)(=O)Nc2ccc(N3CCOCC3)nc2)cc1,0.0,0.88534606,1.9623017
O=c1nc(-c2ccco2)sc(=O)[nH]1,0.0,0.71804535,2.8219426
CC(C)(C)Cn1c(Cc2ccc(NS(C)(=O)=O)cc2)cc2cnc(C#N)nc21,0.02,0.7116936,2.769033
CN(C)C(=O)N1CCCNCC1,0.0,0.55502343,2.2551682
CN1C2CCC1C(C=CCl)C(c1ccc(Cl)cc1)C2,0.08,0.76699615,4.517447
Cn1nc(C(=O)NCc2ccccc2Cl)c2c1-c1ccccc1S(=O)(=O)C2,0.0,0.7311482,2.5112336
CC(C)CC(NC(=O)CCl)c1ccccc1,0.0,0.78633356,2.328352
O=C(Nc1ccc2c(c1)OCO2)Nc1ccccc1F,0.0,0.88368624,1.7540715
O=S(=O)(c1ccc2c(c1)OC1CNCCC21)c1ccccc1-c1ccccc1,0.1,0.73258024,3.1295846
O=C(Cc1ccncc1)NC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,0.02,0.6312753,5.2381306
COc1ccc(Oc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc1OC,0.0,0.49181065,2.367922
CCOC1CSc2nc(=O)c(CC)c(Cc3ccccc3)n21,0.0,0.7954114,3.3579934
COC(=O)C(CCSC)NC(=O)c1sc(SC(C)C)c(C#N)c1-c1ccc(Cl)cc1,0.01,0.37704262,3.210813
CC(C)CC(NC(=O)OC(C)(C)C)C(=O)N1CCC(C(=O)c2ccccc2)CC1,0.02,0.7286199,2.5641515
O=C(CSc1nncnc1-c1cccc2ccccc12)Nc1ccccc1[N+](=O)[O-],0.0,0.28227124,2.4395642
COc1cc(CO)cc(OC)c1OC1OC(CO)C(O)C(O)C1O,0.0,0.4110046,3.5219297
Clc1ccccc1CN1CCC(Nc2ccc3[nH]ncc3c2)CC1,0.08,0.7441491,2.1569254
CC12CCC(O)CC1=CCC1C2CCC2(C)C(n3cccn3)=CCC12,0.03,0.7564924,4.3451157
O=c1cc(-c2ccccc2)sc(N2CCOCC2)c1,0.0,0.8421164,2.2756693
Cc1nn(C)cc1C=NCCOCc1ccccc1,0.0,0.5884504,2.4461458
CC(=O)Nc1ccc(NC(=O)CSc2nnc(N)n2-c2ccccc2)cc1,0.0,0.56448877,2.037278
O=C(Cn1nc(C(=O)O)c2ccccc2c1=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,0.0,0.42675763,2.2712512
CC1(C)c2[nH]c3cc(Cl)ccc3c2CC23NC(=O)C4(CCCN4C2=O)CC31,0.06,0.734233,5.499618
Cc1cc(Nc2nc(N3CCN(C(=O)c4ccccc4Cl)CC3)nn3cccc23)n[nH]1,0.03,0.5101246,2.6047006
CN(C)c1ccc(C(=O)Oc2cc(ON=[N+]([O-])N(C)C)c([N+](=O)[O-])cc2[N+](=O)[O-])cc1,0.0,0.15029445,3.0294497
CC(=O)OCCN(C)c1cc(SC(C)C)c2nonc2c1[N+](=O)[O-],0.0,0.32032773,3.1150334
CN1Cc2ccccc2CC2(CCN(CCO)CC2)C1=O,0.11,0.891264,2.8762844
Fc1ccccc1N=C(S)Nn1cnnc1,0.0,0.47342762,3.2294714
S=C(NCCc1ccncc1)Nc1ccccc1,0.0,0.825626,1.7339991
O=C(Nc1ccccn1)c1cn(-c2ccccc2)nc1C(F)(F)F,0.0,0.79796845,2.153437
C[N+]1(C)CC2CC1CN2c1ccc(Cl)nc1,0.03,0.5477802,4.6524534
Cn1c(SCc2ccccc2)nnc1-c1ccc2c(c1)OCO2,0.0,0.6871792,2.0330267
Cc1ccccc1NC1=C(Cl)C(=O)C(Nc2ccccc2C)=C(Cl)C1=O,0.0,0.73459494,2.4066794
COC(=O)C1CCN(S(=O)(=O)CCNC(=O)c2cccc(OC)c2)CC1,0.0,0.6924212,2.091062
OCC1CC(O)CCN1CCc1ccc(Nc2nc(-c3ccccc3Cl)cs2)cc1,0.01,0.49880457,3.1127076
COc1cc2c(CCNC(=O)C34CC5CC(CC(C5)C3)C4)c[nH]c2cc1Cl,0.0,0.78167605,3.625243
CCCc1cc(=O)oc2cc(N3CCN(C(=O)Nc4ccc(OC(F)(F)F)cc4)CC3)c3c(c12)OC(C)(C)C=C3,0.01,0.37730622,3.05327
Cc1cc(-c2ccnn2C)c2cccc(OCc3c(Cl)cncc3CNS(C)(=O)=O)c2n1,0.02,0.44166026,2.8656063
CCOC(=O)NC(=O)CN1C(=O)NC2(CCc3ccccc32)C1=O,0.0,0.7915039,3.2239351
COC(=O)c1cccc(NC(=O)Nc2nnc(CCSCCc3nnc(NC(=O)Nc4cccc(C(=O)OC)c4)s3)s2)c1,0.0,0.123170845,2.860544
OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(C(F)(F)F)cc2)cn1,0.0,0.39074865,3.3868203
CN(c1ccccc1)c1cc[n+](CC2CC2C[n+]2ccc(N(C)c3ccccc3)cc2)cc1,0.01,0.35546982,3.799708
c1ccc(N=Nc2ccccc2)cc1,0.0,0.6244366,1.6723895
Oc1ccc(C=Cc2ccccc2C=Cc2ccc(O)cc2)cc1,0.0,0.6295945,2.0007482
Cc1cnn(CC2CN(Cc3ccccn3)CCO2)c1,0.07,0.8455026,2.8340929
CNC(=O)C1=C(C)C2=C(Nc3ccccc3S2)C(C(=O)NC)C1c1ccccc1C,0.03,0.70469457,3.693987
O=c1c2ccccc2nc(-c2ccc([N+](=O)[O-])cc2)n1-c1ccccc1,0.0,0.41653976,1.8702579
CN1COc2ccc3ccccc3c2C1,0.01,0.64635384,2.2631915
O=C(Cc1ccc(S(=O)(=O)N2CCOCC2)s1)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,0.0,0.5570975,2.4491656
CN1CC(OCc2ccc(Cl)c(Cl)c2)(c2ccccc2)C1,0.0,0.82960534,2.3605468
CC(CC(=O)N1CCN(C=O)CC1)=NNC(=O)c1ccc([N+](=O)[O-])cc1,0.0,0.33951765,2.5490122
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(OC1(c3cc(O)c(O)c(O)c3)Oc3cc(O)cc(O)c3C(O)C1O)C2,0.07,0.1485743,4.883675
COc1cccc(C#Cc2ccc(C3C(C#N)N(C(=O)c4ccccn4)C3CO)cc2)c1,0.01,0.65227294,3.5758674
O=S(=O)(Nc1ncns1)c1ccc(Oc2ccc(OC(F)(F)F)cc2-c2ccn[nH]2)c(F)c1,0.02,0.3564954,2.9341488
COc1ccccc1NC(=O)c1c(NC(=O)c2ccccc2Cl)sc2c1CCC2,0.0,0.5732785,2.027692
CSc1ccc(Cn2cnc3c(N(C)C)nc(C(F)(F)F)nc32)cc1,0.0,0.658534,2.6371021
Clc1ccc(-c2ccc3nncn3n2)cc1,0.0,0.644996,2.114376
CC(C)OC(=O)c1ccccc1C(=O)c1ccc(N)c([N+](=O)[O-])c1,0.0,0.2967066,2.0944653
O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cc1C(=O)O,0.0,0.5714084,1.9116995
Cc1ccccc1C(c1nccn1C)N1CCN(C)CC1,0.03,0.8621394,2.6567075
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC21CCC(=O)O1,0.0,0.6244641,4.7321706
COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,0.0,0.58295804,2.0685477
COc1ccccc1OCC(=O)N1CCC2(CC1)CC(=O)c1ccccc1O2,0.0,0.8142924,2.689649
Cc1cc(Br)cc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OCc2cccnc2)cc1,0.0,0.37406144,2.5055163
Cc1ccc(-n2c(SCC(=O)Nc3ccc4c(c3)OCO4)nnc2-c2ccoc2C)cc1,0.0,0.43099293,2.3675063
CCOc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,0.0,0.70841736,2.1791174
COc1cc2c(cc1OC)CN(CC(=O)Nc1ccc(Cl)cc1Cl)CC2,0.01,0.8315275,2.014822
N=c1sc(-c2ccc(Br)cc2)nn1-c1c(Cl)cc(Cl)cc1Cl,0.0,0.54280573,2.613219
CC(=O)C1(C(=O)C(=[N+]=[N-])S(=O)(=O)c2ccccc2)CC1,0.0,0.27148438,3.1059442
COc1c(OC)c(OC(C)=O)c2c(OC)cccc2c1OC(C)=O,0.0,0.6140982,2.3645015
Cc1cc2c(cc1F)SCCC2(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,0.02,0.32369593,2.985151
COc1cc(C=C(C#N)C(=O)NCc2ccccc2)ccc1OCc1ccc(C(=O)O)cc1,0.0,0.37985563,2.1230755
Cn1ccccc1=NC=c1sc(=Cc2sc3ccc(F)cc3[n+]2C)n(C)c1=O,0.01,0.45458445,3.605814
COc1ccc2c(c1)C1(Cc3ccccc3)CCN(Cc3ccccc3)C1N2Cc1ccccc1,0.03,0.31613663,3.1572537
O=C(Nc1cc(Cl)ccc1N1CCOCC1)c1ccc(Br)o1,0.0,0.87334734,2.1096268
Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1,0.05,0.75874007,2.2231407
CC(C)C(NC(=O)OC(C)(C)C)C(=O)O,0.0,0.75279945,2.296422
COc1cc(C(=O)NC2CCN(C)CC2F)ccc1Nc1ncc(C(F)(F)F)c(Oc2cccc3c2C(=O)CC3)n1,0.04,0.38326332,3.7560444
CC(=O)Nc1ccc(-c2ccc(C=CC(=O)Nc3ccc(NC(=O)Cc4ccc(C)cc4)c(C(=O)c4ccccc4)c3)o2)cc1,0.0,0.11555738,2.5001054
CN1CCN(CCOC2Cn3cc(C=O)c4ccc5c6ccccc6n(c5c43)C2)CC1,0.11,0.46879846,3.423026
CCNC(=O)Nc1ccc(C(=O)Nc2cccnc2)cn1,0.0,0.7986438,1.9699174
N#CC(Cc1ccc(-c2cnn(CC3CCCO3)c2)cc1F)NC(=O)C1NC2CCC1C2,0.02,0.6947031,4.954884
NC(CF)C(CC(=O)O)c1ccccc1,0.0,0.7761049,3.0458999
COc1ccc2[nH]cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc3c[nH]c4ccc(OC)cc34)=NO)c2c1,0.0,0.038732648,3.301918
O=C1OC(c2cc3ccccc3n2S(=O)(=O)c2ccccc2)(c2cc3ccccc3n2S(=O)(=O)c2ccccc2)c2ccccc21,0.02,0.19075727,2.9583914
O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccc(Cl)cc1,0.0,0.3727091,1.6021404
O=C(NCCNc1ccc(OC(F)(F)F)cc1)C(CC(=O)N1CCOCC1)c1ccc(C(F)(F)F)cc1,0.0,0.3739679,3.0228977
c1ccc(-c2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)cc1,0.04,0.57281446,2.2213643
CCOc1ccccc1N=C(S)N1CCN(c2nc(-c3cccc(OC)c3)cs2)CC1,0.01,0.32422078,2.6270392
Cc1oc(-c2ccccc2F)nc1CCOc1ccc(CN(O)C(N)=O)cc1,0.0,0.47711608,2.396179
CC(=O)NCC1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21,0.04,0.9094535,2.740578
OC1Cc2ccccc2C1n1cnc2c(Cl)ncnc21,0.04,0.69495916,3.2903914
Oc1ccc(C2CNCCc3c2cc(O)c(OCc2ccccc2)c3Cl)cc1,0.59,0.6034258,2.9492764
O=C(O)CN1C(=O)C(=Cc2ccc(OCCc3ccc(Cl)cc3)c(OCc3ccccc3)c2)SC1=S,0.01,0.2565802,2.3259306
C=C1C(OC(=O)c2ccccc2)CC(OC(C)=O)C2(C)C1CC1CC(OC(C)=O)C(C)=C(C1C)C(OC(C)=O)C2OC(C)=O,0.0,0.24900097,5.6674123
CCOCC(=O)NCC1(NC(C)c2ccccc2)CCOCC1,0.0,0.7694338,2.9883785
CCc1cccc(C)c1NC(=O)Cn1ncc2c3ccccc3n(Cc3ccccc3)c2c1=O,0.0,0.39970145,2.3024135
O=C(Cn1cc([N+](=O)[O-])cn1)NCCc1c[nH]c2ccccc12,0.0,0.53260106,2.2430384
Cc1nc(C)c(-c2ccnc(N(C)C)n2)s1,0.0,0.7991604,2.5114477
CC(C)(C)NC(=O)N1CCc2ccccc2C1c1ccc(C(F)(F)F)cc1,0.03,0.7324627,2.668923
CC1(CCc2ccccc2)OC(=O)c2c1ccn(-c1ccc(S(N)(=O)=O)cc1)c2=O,0.01,0.6332618,3.1294386
Cc1cccc(-c2nnc(CSc3cnn(C(C)(C)C)c(=O)c3Cl)o2)c1,0.0,0.61802197,2.6852102
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c2ccccc12,0.0,0.5619702,2.4870684
CCCN(CC)CCc1ccc(F)c(O)c1,0.17,0.8043785,2.130581
O=C(Nc1cc2cc[nH]c(=O)c2cc1Cl)C1CNCC1c1cccc(Br)c1,0.03,0.57140887,3.3021176
CC(Oc1cnc2ccc(Cl)cc2n1)C(=O)O,0.0,0.90600985,2.6683052
CC(C)(C)c1ccc(CCCOS(N)(=O)=O)cc1,0.0,0.83407634,2.1224337
COc1ccc2c(c1)C(=O)c1c-2c(N2CCNCC2)nc2ccccc12,0.06,0.60539484,2.3608074
COCCCNc1cc(-c2cnc(C)nc2-c2ccc(Cl)cc2Cl)nc(-c2ccccc2)n1,0.0,0.29724866,2.5235806
Cc1c(Nc2c(C#N)cncc2C=CCCN2CCN(S(=O)(=O)C(C)C)CC2)ccc2[nH]ccc12,0.17,0.4871768,3.0749266
Cc1ccccc1NC(=O)C1CCCN1S(=O)(=O)c1cccc2cccnc12,0.0,0.7348333,2.513717
CN1CCC2(CC1)CC(N1CCC3(CC1)C(=O)NCN3c1ccccc1)c1ccccc1O2,0.12,0.7663214,4.0017443
COC(=O)c1c(C)oc2cc(Br)c(OCC(=O)C(C)(C)C)cc12,0.0,0.7375576,2.504831
O=C(CCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1)N1CCN(CC=Cc2ccccc2)CC1,0.01,0.5761921,2.3768716
COCCCNC(=O)C(F)(F)C(F)(F)C(=O)NCCCOC,0.0,0.42821625,2.516195
COC(=O)c1cc(C(=CCCc2nnc(C)o2)c2cc(C)c3oc(=O)n(C)c3c2)cc(C)c1OC,0.0,0.36252385,3.1282682
CCc1cc(C(Cc2ccccn2)=NO)c(O)cc1O,0.0,0.4531726,2.6730978
Cc1nc(-c2cccc3c(NC(=O)N4CCc5cc6nccc(N7CCN(C)CC7)c6cc54)cccc23)no1,0.19,0.35496026,2.806753
COc1ccc(C=Cc2cnc(C=Cc3ccc(OC)cc3)cn2)cc1,0.0,0.6420227,2.2666667
CCN1CCc2[nH]cnc2C12CCN(c1ncc(C(=O)O)cc1Cl)CC2,0.01,0.8570107,3.514915
O=C(CCn1ccnc1)c1ccccc1,0.0,0.7086869,1.8626255
COc1ccc(CC(O)c2nc3ccccc3o2)cc1OC,0.0,0.7838601,2.5467231
Oc1c2cc(F)ccc2nc2sc(Cl)nc12,0.0,0.6692211,2.855847
COc1cccc(N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)CO4)CC2)c1,0.0,0.78841484,2.3706665
CCOc1ccc(N(CC(=O)N2CC(=O)Nc3cc(C)c(C)cc32)C(C)=O)cc1,0.01,0.84402806,2.5364468
CCCc1nc(-c2ccccc2)c(CNCCN2CCN(c3ccc(C)cc3)CC2)o1,0.24,0.517989,2.3773124
O=C(NNC(=O)c1ccc(SCC2CCCO2)c([N+](=O)[O-])c1)c1ccc(F)cc1,0.0,0.42296076,2.7282493
Cc1cc(C)n(C(=O)c2ccc(C)c(Br)c2)n1,0.0,0.8085839,2.1734502
Nc1ccnc2ccncc12,0.0,0.6058167,2.2555652
O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN(C2CCC(C(O)c3cncs3)CC2)C1,0.02,0.43740988,3.497815
COc1cc2nc(COc3ccc(F)cc3)oc(=O)c2cc1OC,0.0,0.71577275,2.0891378
NC(Cc1cc(Br)c(Oc2ccc(O)c(Br)c2)c(Br)c1)C(=O)O,0.01,0.55441034,2.857146
CCN(C(=O)COC(=O)CCOc1cccc(C)c1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,0.0,0.4225608,2.4273334
O=C(c1cncnc1Oc1cc(Cl)ccc1Cl)N1CCCc2ccccc21,0.02,0.6089239,2.3573833
NC(=[NH2+])c1cccc(S(=O)(=O)NCCC(=O)Nc2cccc(C(=O)O)c2)c1,0.0,0.29064214,2.440927
CCCN1CCC(=O)N(C(CSc2ccc(OC)cc2)Cc2ccccc2)CC1,0.01,0.573678,2.7446954
COc1ccccc1C(=O)NC(CCSC)C(=O)NNC(=O)C(C)Oc1ccccc1F,0.0,0.46718904,2.9481153
COc1ccc(CNC(=O)COC(=O)c2cnccn2)cc1,0.0,0.79916716,1.8844773
CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(=C(C)NCCC(=O)O)C(=O)C12C,0.0,0.3195077,3.9056482
Cc1cc(C(C)(C)C)c(OC(=O)NS(=O)(=O)Oc2ccccc2)c(C(C)(C)C)c1,0.0,0.75388664,2.590077
O=c1c2ccccc2nnn1CSc1nnc(-c2ccc3c(c2)OCO3)o1,0.01,0.49236685,2.510609
CCC(C)(C)NC(=O)Cc1ccc(F)cc1,0.0,0.83501476,1.8291585
COc1ccc(CNc2ncnc3c2NC(=O)CN3)cc1,0.0,0.78797007,2.5199444
COC(=O)c1cccc2c1NC(=O)C2=NNC(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(OCCCN(C)C)cc1,0.03,0.17690632,2.8993108
O=C(O)CSC1CC(=O)N(c2ccc(Cl)cc2)C1=O,0.01,0.85800225,2.6308331
CN1CCCN(Cc2ccc(-c3ccc(NC(=O)c4ccc(C#N)cc4)cc3)cc2)CC1,0.01,0.6495487,1.9915205
CC1=C(c2ccc(C)c(C)c2)S(=O)(=O)N(Cc2ccc(C(=O)NCc3cccc(C)c3)cc2)C1=O,0.0,0.54773825,2.4585397
O=C(O)c1ccccc1C(=O)NCCOC(=S)Nc1cc(F)ccc1F,0.01,0.52770835,2.2207007
Cc1cc(Cl)ccc1C(=O)N(Cc1cccc(Br)c1)C(Cc1ccccc1)C(=O)O,0.0,0.4625439,2.5941513
OC1CC2CCCN(CCc3c1[nH]c1ccccc31)C2,0.08,0.7724214,4.4343634
Cc1cc2[nH]c(=O)c(=O)n(CC(N)C(=O)O)c2cc1C,0.0,0.6666331,2.899516
Cc1cnc2c(c1)C(C)CCC2C(N)=S,0.02,0.7394864,3.823466
COc1ccc2c(c1)CCc1sc(NC(=O)c3ccc(Cl)cc3)nc1-2,0.0,0.7184383,2.087305
COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)NC1=CC(=O)C(OC)=CC1=O,0.01,0.46936393,2.9085152
O=C(NCc1cccs1)C1CCN(S(=O)(=O)c2cccs2)CC1,0.0,0.8794243,2.1689425
O=C(Nc1ccccc1)Nc1ccc2c(C(=O)c3ccccc3)c(O)n(O)c2c1,0.0,0.30654055,2.2908773
CCCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,0.0,0.44446272,1.872241
O=CCN1C(=O)C(NC(=O)CCc2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.59091055,2.8157074
Cc1[nH]c2ccccc2c1C(=O)CSc1nncn1C,0.0,0.5912101,2.2848058
COc1cc(C(C)=O)cc(OC)c1OC1OC(CO)C(O)C(O)C1O,0.0,0.47639048,3.5044348
O=C(C#Cc1ccccc1)N1c2ccccc2CC1c1c[nH]c2ccccc12,0.03,0.4828864,2.9550555
CCC1(O)CC(OC2CC(OC(C)=O)C(OC(C)=O)CO2)c2c(O)c3c(c(O)c2C1C(=O)OC)C(=O)c1cccc(O)c1C3=O,0.0,0.17480706,4.84187
CC(C)(CO)NCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,0.03,0.26896197,2.7169802
COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1C(C)(C)C)CC2,0.02,0.545861,2.963916
CC(NC(=O)c1ccccc1Cl)c1nnc(SCC(=O)Nc2ccc(C(=O)O)cc2)n1C,0.0,0.4278231,2.590287
CCCOc1ccccc1OCC(=O)N1CCN(CC(=O)N2CCOCC2)CC1,0.0,0.63888144,2.095177
O=C(CSc1nnc2ccc3ccccc3n12)Nc1ccccc1Cl,0.0,0.5464418,2.0512853
COc1ccc(OCc2nnc(S)o2)cc1,0.0,0.82486427,2.2400765
O=C(NC(Cc1ccccc1)C(=O)OCc1ccccc1)c1[nH]cnc1C(=O)N1CCc2ccccc2C1,0.0,0.3534345,2.8900187
O=C(Nc1ccc(N2CCOCC2)cc1)c1cnccn1,0.0,0.9262508,1.9363962
Cc1[nH]n(-c2ccccc2Cl)c(=O)c1C1(C(F)(F)F)C(=O)N(c2ccccc2)C2=C1C(=O)CC(C)(C)C2,0.02,0.47851193,3.5610769
Cc1cccc(NC(=O)c2[nH]cnc2C(=O)NCCCNC(=O)c2nc[nH]c2C(=O)Nc2cccc(C)c2)c1,0.0,0.17263027,2.6900203
O=C(O)CC(Sc1cccc(NC(=O)Cc2ccccc2)c1)c1cccnc1,0.0,0.54906934,2.6026268
COC12C(COC(N)=O)C3=C(C(O)=C(C)C(=NCCN)C3=O)N1CC1NC12,0.02,0.34207338,4.987693
O=C1CSC(=S)N1N=Cc1cccnc1,0.0,0.5738937,2.813209
O=C(CCCOc1ccccc1F)Nc1cc[nH]n1,0.0,0.7860119,2.4196317
CCOC(=O)CC(C)(O)CC(=O)OCC,0.0,0.66231674,2.317319
Cc1ccsc1CN(C)c1ncnc2ccc(-c3ccc(C(C)O)o3)cc12,0.01,0.5315194,3.1776168
